,Game,Year,Genre,Publisher,North America,Global
0,Grand Theft Auto V,2014.0,Action,Rockstar Games,6.06,19.39
1,Call of Duty: WWII,2017.0,Shooter,Activision,4.67,13.4
2,FIFA 18,2017.0,Sports,EA Sports,1.27,11.8
3,FIFA 17,2016.0,Sports,Electronic Arts,1.26,10.94
4,Fallout 4,2015.0,Role-Playing,Bethesda Softworks,2.91,8.48
5,FIFA 16,2015.0,Sports,EA Sports,1.15,8.22
6,Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,2.84,7.53
7,Battlefield 1,2016.0,Shooter,Electronic Arts,2.2,7.26
8,FIFA 15,2014.0,Sports,EA Sports,0.83,6.32
9,The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,1.48,5.39
10,Final Fantasy XV,2016.0,Role-Playing,Square Enix,1.81,5.07
11,Tom Clancy's The Division,2016.0,Shooter,Ubisoft,1.49,4.37
12,Call of Duty: Ghosts,2013.0,Shooter,Activision,1.79,4.17
13,Batman: Arkham Knight,2015.0,Action,Warner Bros. Interactive,1.65,4.11
14,Assassin's Creed Origins,2017.0,Action,Ubisoft,1.22,4.06
15,Far Cry 4,2014.0,Shooter,Ubisoft,1.18,4.06
16,Far Cry 5,2018.0,Action,Ubisoft,1.44,3.95
17,Battlefield 4,2013.0,Shooter,Electronic Arts,1.4,3.94
18,Gran Turismo Sport,2017.0,Racing,Sony Interactive Entertainment,0.63,3.77
19,Assassin's Creed Syndicate,2015.0,Action,Ubisoft,0.9,3.6
20,Mortal Kombat X,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.94,3.49
21,Assassin's Creed IV: Black Flag,2013.0,Action-Adventure,Ubisoft,1.07,3.19
22,Tom Clancy's Ghost Recon Wildlands,2017.0,Shooter,Ubisoft,1.07,3.12
23,Bloodborne,2015.0,Role-Playing,Sony Computer Entertainment,1.3,3.11
24,Metal Gear Solid V: The Phantom Pain,2015.0,Action,Konami Digital Entertainment,0.97,3.04
25,Mafia III,2016.0,Action-Adventure,2K Games,0.72,2.87
26,Dying Light,2015.0,Action,Warner Bros. Interactive,1.18,2.45
27,Dark Souls III,2016.0,Role-Playing,Namco Bandai Games,1.0,2.42
28,Uncharted: The Lost Legacy,2017.0,Action,Sony Interactive Entertainment,0.58,2.37
29,Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.75,2.17
30,PlayStation VR Worlds,2016.0,Misc,Sony Interactive Entertainment,0.36,2.16
31,Rise of the Tomb Raider,2016.0,Adventure,Square Enix,0.61,2.07
32,LittleBigPlanet 3,2014.0,Platform,Sony Computer Entertainment,0.78,2.06
33,Rocket League,2016.0,Sports,505 Games,0.37,2.02
34,Just Cause 3,2015.0,Action-Adventure,Square Enix,0.53,1.98
35,Dishonored 2,2016.0,Action,Bethesda Softworks,0.62,1.97
36,Until Dawn,2015.0,Adventure,Sony Computer Entertainment,0.62,1.9
37,Knack,2013.0,Platform,Sony Computer Entertainment,0.45,1.88
38,The Evil Within,2014.0,Action,Bethesda Softworks,0.56,1.86
39,Titanfall 2,2016.0,Shooter,Electronic Arts,0.75,1.72
40,Injustice 2,2017.0,Fighting,Warner Bros. Interactive Entertainment,0.88,1.72
41,Tekken 7,2017.0,Fighting,Namco Bandai Games,0.6,1.7
42,Persona 5,2016.0,Role-Playing,Deep Silver,0.62,1.64
43,The Order: 1886,2015.0,Shooter,Sony Computer Entertainment,0.44,1.62
44,Wolfenstein: The New Order,2014.0,Shooter,Bethesda Softworks,0.48,1.61
45,Detroit: Become Human,2018.0,Adventure,Sony Interactive Entertainment,0.55,1.57
46,Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,Fighting,Namco Bandai Games,0.71,1.54
47,Mass Effect: Andromeda,2017.0,Role-Playing,Electronic Arts,0.58,1.49
48,The Sims 4,2017.0,Simulation,Electronic Arts,0.44,1.39
49,The Last Guardian,2016.0,Action-Adventure,Sony Interactive Entertainment,0.4,1.29
50,Guitar Hero Live,2015.0,Music,Activision,0.52,1.21
51,Shadow of the Colossus,2018.0,Action-Adventure,Sony Interactive Entertainment,0.44,1.2
52,LEGO Dimensions,2015.0,Action,Warner Bros. Interactive Entertainment,0.48,1.18
