,Game,Score,Gamers,Completion Percentage,Rating,Minimum Completion Time,Maximum Completion Time
212,Tales from the Borderlands,1479,12296,71.9,4.1,8,10
213,Assassin's Creed Freedom Cry,547,55589,18.4,3.4,6,8
214,forma.8,2909,15539,17.8,2.7,6,8
215,Costume Quest 2,413,4008,30.9,3.7,6,8
216,Citizens of Earth,693,2095,14.1,3.5,20,25
217,Road Not Taken,1316,23530,1.5,2.8,10,12
218,MouseCraft,441,13982,40.5,2.9,4,5
219,Firewatch,489,15419,17.8,4.0,3,4
220,Aaru's Awakening,585,2681,23.4,2.5,6,8
221,Loadout,2248,40910,0.6,2.6,100,120
222,Magicka 2,5787,34755,3.4,3.2,20,25
223,Toren,403,1830,47.4,2.7,2,3
224,The Escapists,5660,12030,2.3,3.4,20,25
225,Alienation,3015,35365,4.7,3.9,50,60
226,Titan Souls,5975,26847,3.4,3.4,15,20
227,Salt and Sanctuary,2457,15505,19.4,4.3,20,25
228,Rebel Galaxy,2867,13041,11.4,3.3,40,50
229,Enter the Gungeon,4139,17157,3.3,4.1,80,100
230,What Remains of Edith Finch,360,18418,49.3,4.2,2,3
231,Wattam,2701,1401,17.4,3.6,4,5
232,Fat Princess Adventures,2930,11085,16.3,3.6,20,25
233,Grow Home,641,31592,14.4,3.2,8,10
234,Beyond Eyes,373,2408,60.0,2.9,1,2
235,Assassin's Creed Chronicles: India,590,2953,18.6,3.2,12,15
236,The Walking Dead: Michonne,324,20260,87.5,3.7,1,2
237,Unravel,2396,37563,21.5,4.0,10,12
238,Final Fantasy VII Remake,2334,98925,18.1,4.6,60,80
239,Tiny Troopers Joint Ops,907,17872,6.7,2.9,6,8
240,Hardware: Rivals,4355,41631,5.4,2.6,40,50
241,The Binding of Isaac: Rebirth,5150,23668,1.0,4.4,150,200
242,Fe,2030,5205,31.5,3.5,10,12
243,Days Gone,4788,121982,1.1,4.2,60,80
244,Metro Exodus,3820,34285,2.5,3.9,20,25
245,Anthem,3133,46185,6.9,3.0,50,60
246,Chaos on Deponia,1500,1074,77.6,3.3,3,4
247,The Mummy Demastered,1944,1889,35.5,3.9,6,8
