Game,Year,Genre,Publisher,North America,Global,Score,Gamers,Completion Percentage,Rating,Minimum Completion Time,Maximum Completion Time
Darksiders III,2018.0,Action,THQ Nordic,0.13,0.25,3638,45633,3.8,3.8,35,40
Tearaway Unfolded,2015.0,Platform,Sony Computer Entertainment,0.07,0.24,3329,41479,11.7,3.7,20,25
.hack//G.U. Last Recode,2017.0,Role-Playing,Namco Bandai Games,0.1,0.24,2522,7840,16.6,4.1,80,100
The Wolf Among Us,2014.0,Adventure,Telltale Games,0.11,0.22,1470,42787,66.2,4.3,8,10
Zombie Army Trilogy,2015.0,Shooter,Rebellion Developments,0.06,0.22,2665,24058,14.1,3.7,30,35
Agents of Mayhem,2017.0,Action,Deep Silver,0.08,0.2,2684,14809,11.5,3.3,50,60
The Surge,2017.0,Action,Koch Media,0.07,0.19,4295,55165,1.4,3.4,40,50
Resident Evil 6,2016.0,Shooter,Capcom,0.1,0.17,5691,42156,2.6,3.5,50,60
Putty Squad,2013.0,Platform,System 3,0.06,0.16,2391,2559,27.9,2.7,8,10
Digimon Story: Cyber Sleuth - Hacker's Memory,2017.0,Role-Playing,Namco Bandai Games,0.05,0.16,2821,8697,11.0,4.1,80,100
Gravity Rush Remastered,2015.0,Action-Adventure,Sony Computer Entertainment,0.02,0.16,2906,47625,26.0,4.1,15,20
Brothers: A Tale of Two Sons,2015.0,Adventure,505 Games,0.04,0.15,375,7562,63.7,3.9,2,3
Atelier Sophie: The Alchemist of the Mysterious Book,2015.0,Role-Playing,Tecmo Koei,0.04,0.15,2164,10925,28.6,3.9,40,50
Song of the Deep,2016.0,Action,Insomniac Games,0.12,0.15,475,3403,25.8,3.9,6,8
Shovel Knight,2015.0,Platform,Yacht Club Games,0.08,0.14,5574,20315,1.0,4.4,15,20
MotoGP 17,2017.0,Racing,Koch Media,0.04,0.14,1911,2068,40.7,3.6,15,20
Fairy Fencer F: Advent Dark Force,2015.0,Role-Playing,Idea Factory International,0.06,0.14,2838,4684,15.4,3.8,40,50
Valentino Rossi: The Game,2016.0,Racing,Namco Bandai Games,0.05,0.13,2243,2355,23.5,3.4,35,40
The Legend of Heroes: Trails of Cold Steel III,2017.0,Role-Playing,Nihon Falcom Corporation,0.0,0.13,2050,3247,23.2,4.4,60,80
The Inpatient,2018.0,Action,Sony Interactive Entertainment,0.06,0.13,2694,6270,13.5,3.1,6,8
Job Simulator,2017.0,Simulation,Sony Interactive Entertainment,0.1,0.12,1647,7890,48.4,4.1,3,4
God Eater 2: Rage Burst,2015.0,Role-Playing,Namco Bandai Games,0.0,0.12,3418,15763,8.7,3.6,80,100
Marvel's Guardians of the Galaxy: The Telltale Series,2017.0,Adventure,Warner Bros. Interactive Entertainment,0.06,0.12,1370,21433,77.3,3.8,1,2
Minecraft: Story Mode - Season Two,2017.0,Adventure,Telltale Games,0.09,0.11,1353,5990,80.9,3.5,1,2
The Invisible Hours,2017.0,Adventure,GameTrust,0.09,0.11,1855,1983,41.5,3.8,5,6
Monster Energy Supercross - The Official Videogame,2018.0,Racing,Milestone S.r.l.,0.08,0.11,2682,22512,19.9,2.7,8,10
Tokyo Xanadu eX+,2016.0,Role-Playing,Nihon Falcom Corporation,0.05,0.1,3351,5400,8.8,4.4,60,80
Puyo Puyo Tetris,2014.0,Puzzle,Sega,0.05,0.1,3411,3864,7.8,4.0,30,35
Nights of Azure,2015.0,Action,Tecmo Koei,0.04,0.09,2484,13484,17.9,3.3,40,50
Lara Croft and the Temple of Osiris,2014.0,Action,Square Enix,0.0,0.09,710,64585,5.3,3.1,8,10
Shantae: Half-Genie Hero,2016.0,Platform,Xseed Games,0.06,0.08,3767,4463,2.3,4.1,8,10
Earth Defense Force 4.1: The Shadow of New Despair,2015.0,Shooter,PQube,0.05,0.08,6901,5003,1.8,4.0,200,700
The Sexy Brutale,2017.0,Adventure,Badland Studio,0.05,0.08,1582,5178,55.7,3.7,5,6
Dead Rising,2016.0,Action,Capcom,0.04,0.08,3749,13830,6.3,4.2,40,50
The Book of Unwritten Tales 2,2015.0,Adventure,Nordic Games,0.0,0.07,1898,4806,39.7,3.5,20,25
The Silver Case,2017.0,Visual Novel,NIS America,0.05,0.07,1787,1300,47.3,3.3,15,20
Steins;Gate 0,2015.0,Adventure,PQube,0.0,0.07,1459,3873,70.9,4.0,1,2
Sherlock Holmes: The Devil's Daughter,2016.0,Adventure,Bigben Interactive,0.05,0.06,1498,15520,67.0,3.3,12,15
Aven Colony,2017.0,Strategy,Sold Out,0.04,0.06,2116,1778,27.4,3.8,20,25
Battle Chasers: Nightwar,2017.0,Role-Playing,THQ Nordic,0.03,0.06,2999,8141,10.5,3.9,80,100
Black Mirror,2017.0,Adventure,THQ Nordic,0.04,0.05,1536,5239,64.5,2.9,4,5
Nitroplus Blasterz: Heroines Infinite Duel,2015.0,Fighting,Marvelous Interactive,0.01,0.05,2324,7708,21.7,3.7,8,10
Child of Light,2014.0,Role-Playing,Ubisoft,0.0,0.05,425,46238,31.6,4.0,10,12
Real Farm,2017.0,Simulation,Soedesco,0.04,0.05,4622,2876,4.5,1.7,35,40
The Talos Principle,2015.0,Puzzle,Nighthawk Interactive,0.0,0.04,2423,9072,20.1,4.2,20,25
Axiom Verge,2017.0,Action,Badland Studio,0.03,0.04,3993,9166,6.7,4.2,25,30
Here They Lie,2016.0,Adventure,Sony Interactive Entertainment,0.0,0.04,622,20130,9.3,2.5,5,6
Aragami,2016.0,Action,Maximum Games,0.03,0.04,2938,8538,4.0,3.6,15,20
Assassin's Creed Chronicles: China,2015.0,Action-Adventure,Ubisoft,0.0,0.04,740,12229,8.8,3.2,8,10
Danganronpa Another Episode: Ultra Despair Girls,2017.0,Shooter,NIS America,0.03,0.04,2249,3066,27.1,4.0,30,35
The Peanuts Movie: Snoopy's Grand Adventure,2015.0,Platform,Activision,0.0,0.03,1622,4534,55.2,2.9,8,10
Road Rage,2017.0,Racing,Maximum Games,0.02,0.03,1949,3033,34.9,1.8,8,10
The Town of Light,2017.0,Adventure,Wired Productions,0.02,0.03,1490,5004,70.4,3.1,2,3
Zero Escape: Zero Time Dilemma,2017.0,Adventure,Aksys Games,0.02,0.03,1504,10324,66.8,4.0,20,25
Root Letter,2016.0,Visual Novel,PQube,0.0,0.03,1599,1502,61.7,3.3,15,20
PaRappa the Rapper Remastered,2017.0,Music,Sony Interactive Entertainment,0.0,0.02,2339,8954,19.6,2.9,4,5
Dungeons 2,2016.0,Role-Playing,Kalypso Media,0.02,0.02,2035,2498,31.1,3.7,25,30
Tricky Towers,2017.0,Puzzle,Soedesco,0.02,0.02,6008,36311,1.9,3.0,25,30
Teslagrad,2014.0,Platform,Rain Games,0.0,0.01,1712,29660,48.7,3.1,4,5
The Witness,2016.0,Misc,"Thekla, Inc.",0.0,0.0,2187,37711,17.9,4.0,20,25
A Boy and His Blob,,Platform,,0.0,0.0,638,2194,16.5,3.2,15,20
Ape Escape 2,,Platform,,0.0,0.0,724,11307,7.0,3.7,25,30
Dark Cloud 2,,Role-Playing,,0.0,0.0,4051,8547,5.8,4.2,100,120
Fez,,Misc,,0.0,0.0,711,57752,13.2,3.6,6,8
Heavy Rain,,Adventure,,0.0,0.0,2355,68075,19.7,4.1,25,30
Psychonauts,2017.0,Action,Sony Interactive Entertainment,0.0,0.0,2499,7925,20.6,4.1,15,20
Resident Evil 5,2016.0,Action,Capcom,0.0,0.0,3268,42688,3.5,4.1,30,35
Sound Shapes,,Misc,,0.0,0.0,3428,14395,44.4,3.3,8,10
The Amazing Spider-Man 2,2014.0,Misc,Activision,0.0,0.0,2122,17319,23.7,3.0,15,20
The King of Fighters 2000,,Fighting,,0.0,0.0,473,2195,30.7,3.7,3,4
Ether One,2015.0,Adventure,Soedesco,0.0,0.0,2513,39779,23.2,2.7,6,8
Dust: An Elysian Tail,,Platform,,0.0,0.0,2790,60436,15.0,3.8,12,15
Rainbow Moon,,Role-Playing,,0.0,0.0,4095,26010,7.1,3.3,100,120
Broken Age,2015.0,Adventure,Nordic Games,0.0,0.0,2958,36104,11.8,3.4,10,12
Apotheon,,Platform,,0.0,0.0,3084,37211,15.3,3.2,12,15
Apotheon,,Action,,0.0,0.0,3084,37211,15.3,3.2,12,15
Hotline Miami,,Action,,0.0,0.0,2781,64757,14.7,4.1,15,20
The Unfinished Swan,,Adventure,,0.0,0.0,597,28927,18.9,3.4,2,3
Cyberpunk 2077,2018.0,Action-Adventure,CD Projekt Red Studio,0.0,0.0,3596,55409,6.7,3.8,80,100
Transistor,,Role-Playing,,0.0,0.0,2790,64194,17.3,3.9,12,15
The Swapper,,Misc,,0.0,0.0,351,17246,68.9,3.5,2,3
Outlast,,Misc,,0.0,0.0,1498,58601,2.9,3.8,8,10
Contrast,2013.0,Misc,Compulsion Games,0.0,0.0,467,26636,23.7,3.2,3,4
Doki-Doki Universe,,Misc,,0.0,0.0,595,17826,20.2,3.0,5,6
Hohokum,,Adventure,,0.0,0.0,534,5589,14.0,3.1,6,8
CounterSpy,,Action,,0.0,0.0,854,44761,4.8,3.4,12,15
Daylight,,Misc,,0.0,0.0,617,3639,5.6,3.0,6,8
